MONTH,DAY_OF_MONTH,DAY_OF_WEEK,OP_UNIQUE_CARRIER,TAIL_NUM,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN,ORIGIN_CITY_NAME,DEST_AIRPORT_ID,DEST,DEST_CITY_NAME,CRS_DEP_TIME,DEP_TIME,DEP_DELAY_NEW,DEP_DEL15,DEP_TIME_BLK,CRS_ARR_TIME,ARR_TIME,ARR_DELAY_NEW,ARR_TIME_BLK,CANCELLED,CANCELLATION_CODE,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,DISTANCE,DISTANCE_GROUP,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,...33
10,23,3,YV,N953LR,5778,13158,MAF,"Midland/Odessa, TX",11298,DFW,"Dallas/Fort Worth, TX",1229,1629,240,1,1200-1259,1347,1739,232,1300-1359,0,,78,70,309,2,73,0,0,0,159,
10,13,7,AA,N955AN,2545,11298,DFW,"Dallas/Fort Worth, TX",13487,MSP,"Minneapolis, MN",0723,0716,0,0,0700-0759,0945,0933,0,0900-0959,0,,142,137,852,4,,,,,,
10,12,6,OO,N8982A,3571,11433,DTW,"Detroit, MI",14696,SBN,"South Bend, IN",2012,2017,5,0,2000-2059,2118,2109,0,2100-2159,0,,66,52,157,1,,,,,,
10,18,5,DL,N327NW,1987,13303,MIA,"Miami, FL",10397,ATL,"Atlanta, GA",1117,1118,1,0,1100-1159,1313,1307,0,1300-1359,0,,116,109,594,3,,,,,,
10,20,7,9E,N8936A,3449,13296,MHT,"Manchester, NH",12953,LGA,"New York, NY",1020,1006,0,0,1000-1059,1132,1129,0,1100-1159,0,,72,83,195,1,,,,,,
10,22,2,DL,N312DN,1809,14869,SLC,"Salt Lake City, UT",11433,DTW,"Detroit, MI",1729,1724,0,0,1700-1759,2256,2244,0,2200-2259,0,,207,200,1481,6,,,,,,
10,26,6,DL,N676DL,1715,13487,MSP,"Minneapolis, MN",10397,ATL,"Atlanta, GA",1510,1512,2,0,1500-1559,1834,1905,31,1800-1859,0,,144,173,907,4,0,0,31,0,0,
10,3,4,DL,N360NW,2414,12889,LAS,"Las Vegas, NV",14747,SEA,"Seattle, WA",1130,1118,0,0,1100-1159,1415,1348,0,1400-1459,0,,165,150,867,4,,,,,,
10,9,3,OO,N758EV,3188,14674,SAF,"Santa Fe, NM",11298,DFW,"Dallas/Fort Worth, TX",1014,1021,7,0,1000-1059,1306,1257,0,1300-1359,0,,112,96,551,3,,,,,,
10,15,2,OO,N936EV,4330,11433,DTW,"Detroit, MI",13459,MQT,"Marquette, MI",1600,1559,0,0,1600-1659,1733,1720,0,1700-1759,0,,93,81,349,2,,,,,,
10,18,5,AA,N982VJ,326,13303,MIA,"Miami, FL",13930,ORD,"Chicago, IL",0840,0835,0,0,0800-0859,1105,1103,0,1100-1159,0,,205,208,1197,5,,,,,,
10,27,7,HA,N478HA,549,13830,OGG,"Kahului, HI",12982,LIH,"Lihue, HI",1802,1805,3,0,1800-1859,1849,1904,15,1800-1859,0,,47,59,201,1,12,0,0,0,3,
10,12,6,OO,N454SW,4244,10141,ABR,"Aberdeen, SD",13487,MSP,"Minneapolis, MN",1300,1314,14,0,1300-1359,1417,1431,14,1400-1459,0,,77,77,257,2,,,,,,
10,1,2,AA,N741UW,1989,11278,DCA,"Washington, DC",13303,MIA,"Miami, FL",1540,1544,4,0,1500-1559,1831,1752,0,1800-1859,0,,171,128,919,4,,,,,,
10,26,6,DL,N965DL,1234,14193,PNS,"Pensacola, FL",10397,ATL,"Atlanta, GA",0525,0515,0,0,0001-0559,0730,0720,0,0700-0759,0,,65,65,271,2,,,,,,
10,23,3,YV,N954LR,5720,13422,MOB,"Mobile, AL",11298,DFW,"Dallas/Fort Worth, TX",1348,1340,0,0,1300-1359,1540,1540,0,1500-1559,0,,112,120,539,3,,,,,,
10,8,2,YX,N424YX,4703,12953,LGA,"New York, NY",14524,RIC,"Richmond, VA",2110,2313,123,1,2100-2159,2228,0034,126,2200-2259,0,,78,81,292,2,45,0,3,0,78,
10,10,4,AA,N170US,495,13204,MCO,"Orlando, FL",14100,PHL,"Philadelphia, PA",1733,1741,8,0,1700-1759,2007,2018,11,2000-2059,0,,154,157,861,4,,,,,,
10,8,2,B6,N292JB,1035,15024,STT,"Charlotte Amalie, VI",14843,SJU,"San Juan, PR",0833,0829,0,0,0800-0859,0910,0908,0,0900-0959,0,,37,39,68,1,,,,,,
